# USDB interaction, Brown and Richter 2016, https://journals.aps.org/prc/abstract/10.1103/PhysRevC.74.034315
# number of single-particle states, only neutrons!!!!
    12
#   legend
#   index  n     l    2j   2m_j   single-particle energies
     1     1     0     1    -1   -3.20790
     2     1     0     1     1   -3.20790
     3     0     2     3    -3    2.11170
     4     0     2     3    -1    2.11170
     5     0     2     3     1    2.11170
     6     0     2     3     3    2.11170
     7     0     2     5    -5   -3.92570
     8     0     2     5    -3   -3.92570
     9     0     2     5    -1   -3.92570
    10     0     2     5     1   -3.92570
    11     0     2     5     3   -3.92570
    12     0     2     5     5   -3.92570
# number of matrix elements in m-scheme
   343
   1   2   1   2  -1.69130
   1   2   3   6  -0.71771
   1   2   4   5   0.71771
   1   2   7  12  -0.90078
   1   2   8  11   0.90078
   1   2   9  10  -0.90078
   1   3   1   3  -0.30340
   1   3   1   8   0.65855
   1   3   2   7  -1.47255
   1   3   3   4   0.34940
   1   3   3   9   0.14034
   1   3   4   8  -0.22917
   1   3   5   7   0.25622
   1   3   7  10   0.52984
   1   3   8   9  -0.71086
   1   4   1   4  -0.09860
   1   4   1   9   0.80655
   1   4   2   3  -0.35472
   1   4   2   8  -1.14063
   1   4   3   5   0.30259
   1   4   3  10   0.17721
   1   4   4   9  -0.16659
   1   4   5   8   0.03713
   1   4   6   7   0.20829
   1   4   7  11   0.64892
   1   4   8  10  -0.41042
   1   5   1   5   0.10620
   1   5   1  10   0.80655
   1   5   2   4  -0.40960
   1   5   2   9  -0.80655
   1   5   3   6   0.17470
   1   5   3  11   0.15746
   1   5   4   5   0.17470
   1   5   4  10  -0.05251
   1   5   5   9  -0.08783
   1   5   6   8   0.18630
   1   5   7  12   0.48368
   1   5   8  11   0.09674
   1   5   9  10  -0.38694
   1   6   1   6   0.31100
   1   6   1  11   0.65855
   1   6   2   5  -0.35472
   1   6   2  10  -0.46566
   1   6   3  12   0.08302
   1   6   4   6   0.17470
   1   6   4  11   0.05028
   1   6   5  10  -0.11658
   1   6   6   9   0.11408
   1   6   8  12   0.37466
   1   6   9  11  -0.23695
   1   7   1   7   0.68410
   1   7   3   8  -0.33834
   1   7   4   7   0.43679
   1   8   1   8   0.41333
   1   8   2   7   0.60545
   1   8   3   4  -0.12954
   1   8   3   9  -0.40520
   1   8   4   8   0.22489
   1   8   5   7   0.23691
   1   8   7  10  -0.22731
   1   8   8   9   0.30497
   1   9   1   9   0.14257
   1   9   2   3   0.46566
   1   9   2   8   0.76584
   1   9   3   5  -0.18319
   1   9   3  10  -0.40563
   1   9   4   9   0.04088
   1   9   5   8   0.26023
   1   9   6   7   0.05091
   1   9   7  11  -0.45462
   1   9   8  10   0.28753
   1  10   1  10  -0.12820
   1  10   2   4   0.80655
   1  10   2   9   0.81230
   1  10   3   6  -0.15865
   1  10   3  11  -0.35966
   1  10   4   5  -0.15865
   1  10   4  10  -0.11524
   1  10   5   9   0.23419
   1  10   6   8   0.06830
   1  10   7  12  -0.50828
   1  10   8  11  -0.10166
   1  10   9  10   0.40663
   1  11   1  11  -0.39897
   1  11   2   5   1.14063
   1  11   2  10   0.76584
   1  11   3  12  -0.26634
   1  11   4   6  -0.25907
   1  11   4  11  -0.24348
   1  11   5  10   0.18136
   1  11   6   9   0.06830
   1  11   8  12  -0.64293
   1  11   9  11   0.40663
   1  12   1  12  -0.66973
   1  12   2   6   1.47255
   1  12   2  11   0.60545
   1  12   4  12  -0.34384
   1  12   5   6  -0.28965
   1  12   5  11   0.11220
   1  12   6  10   0.05091
   1  12   9  12  -0.50828
   1  12  10  11   0.68193
   2   3   2   3   0.31100
   2   3   2   8  -0.65855
   2   3   3   5   0.17470
   2   3   3  10   0.11408
   2   3   4   9  -0.11658
   2   3   5   8   0.05028
   2   3   6   7   0.08302
   2   3   7  11   0.37466
   2   3   8  10  -0.23695
   2   4   2   4   0.10620
   2   4   2   9  -0.80655
   2   4   3   6   0.17470
   2   4   3  11   0.18630
   2   4   4   5   0.17470
   2   4   4  10  -0.08783
   2   4   5   9  -0.05251
   2   4   6   8   0.15746
   2   4   7  12   0.48368
   2   4   8  11   0.09674
   2   4   9  10  -0.38694
   2   5   2   5  -0.09860
   2   5   2  10  -0.80655
   2   5   3  12   0.20829
   2   5   4   6   0.30259
   2   5   4  11   0.03713
   2   5   5  10  -0.16659
   2   5   6   9   0.17721
   2   5   8  12   0.64892
   2   5   9  11  -0.41042
   2   6   2   6  -0.30340
   2   6   2  11  -0.65855
   2   6   4  12   0.25622
   2   6   5   6   0.34940
   2   6   5  11  -0.22917
   2   6   6  10   0.14034
   2   6   9  12   0.52984
   2   6  10  11  -0.71086
   2   7   2   7  -0.66973
   2   7   3   4   0.28965
   2   7   3   9  -0.05091
   2   7   4   8  -0.11220
   2   7   5   7   0.34384
   2   7   7  10   0.50828
   2   7   8   9  -0.68193
   2   8   2   8  -0.39897
   2   8   3   5   0.25907
   2   8   3  10  -0.06830
   2   8   4   9  -0.18136
   2   8   5   8   0.24348
   2   8   6   7   0.26634
   2   8   7  11   0.64293
   2   8   8  10  -0.40663
   2   9   2   9  -0.12820
   2   9   3   6   0.15865
   2   9   3  11  -0.06830
   2   9   4   5   0.15865
   2   9   4  10  -0.23419
